"z" "snh" "snl" "onl" "onh" "dnl" "dnh" "knl" "knh"
"87" 0.447 5.3795827 8.2198148 42.5561256 32.0190247 5.5587251 3.064031 0.95327245 0.33662695
"88" 0.434 4.8779591 9.4869418 41.3171749 29.1203399 6.90653443 2.61529086 0.97147781 0.32103002
"89" 0.421 5.2055448 8.4079264 37.4214817 29.58117144 5.7950421 2.8985664 1.07809822 0.26264748
"90" 0.408 4.681934 7.6067563 40.9270948 28.0386675 6.7634459 2.3408084 1.01138174 0.24741703
"91" 0.396 5.52030426 7.4297461 37.5479439 28.8042679 5.6974426 1.93089615 0.99735861 0.24739114
"92" 0.384 5.8267365 7.6384748 37.891 29.08260787 5.1742136 2.4712817 0.89154167 0.288856177
"93" 0.372 3.9633713 7.4413085 33.94970638 27.16129926 5.2607656 1.41453547 0.99403702 0.21924655
"94" 0.36 5.09204454 6.881451 35.7450409 28.19504244 5.2569123 2.1804261 0.86215889 0.24543454
"95" 0.348 4.40056302 7.63881978 35.6809453 27.29505927 4.62343315 1.67419582 1.02988039 0.154852141
"96" 0.337 4.34428945 5.64648732 35.22954892 26.39946007 4.5543849 1.83425789 0.8479591122 0.163321006
"97" 0.326 4.82682684 6.5711097 30.78446878 26.00198369 4.4153121 1.77738452 0.88245947 0.2015583
"98" 0.314 4.22126083 6.45785752 32.81648191 27.0180647 4.052759 2.06224126 0.86317388 0.195555917
"99" 0.303 4.74735497 5.60499586 30.63344462 27.146078989 4.48424 1.67344432 0.88249935 0.233702656
"100" 0.293 4.29803612 5.42059557 31.3782552 25.61772599 3.6874941 1.62141796 0.86998355 0.16467847
"101" 0.282 4.36524437 6.30554541 30.95720981 25.69867081 3.89095742 1.65263769 0.93497617 0.150431031
"102" 0.271 4.036958709 5.9734947 28.75760613 25.507908291 3.7943508 1.2743245 0.8517055 0.160691971
"103" 0.261 3.80899918 6.02853886 30.31021061 23.8853703 3.06851578 1.61028001 0.81378437 0.099064035
"104" 0.251 4.26029152 5.78388152 28.9145945 25.526678445 3.39440852 2.02796657 0.793281405 0.108532833
"105" 0.241 3.91165981 5.4171951 30.5425526 23.42243871 3.52246219 1.26529075 0.745594854 0.1046178518
"106" 0.231 3.53043478 5.474703 27.36602603 24.0716302 3.16381995 1.81159986 0.73836997 0.10494774
"107" 0.221 4.04289721 5.5872624 26.579468 23.35193517 3.30851236 1.71293297 0.742729112 0.088339611
"108" 0.211 3.76582245 5.2388723 28.8168307 22.99152259 3.15506055 1.63759081 0.691892053 0.1381695
"109" 0.202 3.66411153 5.0906139 27.410104245 21.894214829 3.9039375 1.354193793 0.75864273 0.154036809
"110" 0.192 3.4882384 5.94775793 26.0442973 22.21710017 3.28728451 1.39214641 0.7718096 0.100093338
"111" 0.183 2.91415819 4.5475593 26.8858739 21.726941609 3.04105526 1.218761386 0.80008543 0.120668034
"112" 0.174 3.64759817 5.09807649 26.0876026 19.92595018 2.9275719 0.908704268 0.73614313 0.186001813
"113" 0.165 2.874211037 5.61866313 25.354444458 20.35355714 3.1896694 1.049266809 0.81666019 0.211454552
"114" 0.156 3.09569146 4.39371163 25.94634062 20.18913528 2.44258771 1.449500448 0.82269551 0.248205088
"115" 0.147 2.80090851 4.68592419 24.83401769 18.96715373 2.59282517 1.623673052 0.82787234 0.32949089782
"116" 0.138 3.42096158 4.684670696 24.8660389 18.8073031 3.03960808 1.368999474 0.760398014 0.125413407
"117" 0.129 2.81463617 4.03774976 24.004853169 19.43613502 2.79043926 1.347542339 0.64691442 0.19721962
